frame,definition,example
f:Earnings_and_losses,"An <em>Earner</em> receives <em>Earnings</em> by providing <em>Goods</em> to a <em>Buyer</em>; providing the <em>Goods</em> also generally entails a cost, which may or may not be included in the consideration.  Emphasizes the effect on the <em>Earner</em> and often generalizes across an indefinite number of transactions with various parties.  Some of the LUs (e.g. earn.v) primarily refer to the to the <em>Earnings</em> without reference to cost, others to the amount the <em>Earnings</em> differ from the cost, emphasizing either a net loss (e.g. loss.n) or net gain (e.g. net.n).","<p class='list-group-item'>After a  $ 1.5 million  <span id='phrase_example'>loss</span> , the company is in no state to continue .</p><p class='list-group-item'> We <span id='phrase_example'>made</span> nearly two million  on resales alone  last year  .</p><p class='list-group-item'>This reflects the 15 % jump in <span id='phrase_example'> earnings </span> over 1994 .</p>"
f:Causation,"A <em>Cause</em> causes an <em>Effect</em>.  Alternatively, an <em>Actor</em>, a participant of a (implicit) <em>Cause</em>, may stand in for the <em>Cause</em>.","<p class='list-group-item'>The ending <span id='phrase_example'>left</span> me  feeling kinda empty .</p><p class='list-group-item'> You  've <span id='phrase_example'>made</span>  it   impossible to continue !</p><p class='list-group-item'> The strange mutations of the rumor mill  in the end <span id='phrase_example'>led</span> to it being said that he was actually a woman .</p><p class='list-group-item'>If  such a small earthquake  <span id='phrase_example'>causes</span>  problems , just imagine a big one!</p><p class='list-group-item'> He <span id='phrase_example'>made</span> me  angry .</p>"
f:Evaluative_comparison,"The static comparison of an <em>Profiled item</em> to a <em>Standard item</em>, often  with respect to some <em>Attribute</em>. There is an inherent asymmetry between <em>Profiled item</em> and <em>Standard item</em> in that the two cannot be expressed jointly as a subject. <em>Degree</em> expressions are also found that indicate how close the items are to each other on the scale evoked by the <em>Attribute</em>. Furthermore, the particular value of the standard or item on a certain scale may be given by the <em>Standard attribute</em> of the <em>Profiled attribute</em> respectively.",<p class='list-group-item'>The current price <span id='phrase_example'>matches</span> the price last year  . </p><p class='list-group-item'> Few pianists  have ever <span id='phrase_example'>equaled</span>  the lightness and vivacity of his rhythm  . </p><p class='list-group-item'> Peyton Manning's passing yards  are <span id='phrase_example'>equaled</span>  among NFL quarterbacks   by only a select few . </p><p class='list-group-item'> Mexico's Copper Canyon <span id='phrase_example'>rivals</span> the Grand Canyon  in sheer beauty and drama .  </p><p class='list-group-item'> The Sun is putting on  a show that  <span id='phrase_example'>rivals</span>  the most sizzling Hollywood thrillers .</p>
f:Elusive_goal,"An <em>Experiencer</em> does not achieve a <em>Desired goal</em>. Typically, the <em>Experiencer</em> is the object of the verb.  Metaphorically, a pursued entity is not captured.",<p class='list-group-item'>A simple truth  has <span id='phrase_example'>evaded</span>  so many of us .</p><p class='list-group-item'> His point <span id='phrase_example'>escaped</span>  the entire audience .</p><p class='list-group-item'> Success <span id='phrase_example'>eludes</span> me .</p>
f:Travel,"A <em>Traveler</em> goes on a journey, an activity, generally planned in advance, in which the <em>Traveler</em> moves from a <em>Source</em> location to a <em>Goal</em> along a <em>Path</em> or within an <em>Area</em>.  The journey can be accompanied by <em>Co participant</em>s and <em>Baggage</em>.  The <em>Duration</em> or <em>Distance</em> of the journey, both generally long, may also be described as may be the <em>Mode of transportation</em>.  Words with this definition emphasize the whole process of getting from one place to another, rather than profiling merely the beginning or the end of the journey.",<p class='list-group-item'>The Osbournes took a <span id='phrase_example'>trip</span>  from Beverly Hills   to London   on the Concorde .</p><p class='list-group-item'> Samantha <span id='phrase_example'>journeyed</span> 2500 miles  with her family  by sea  to China .</p><p class='list-group-item'> Ellen <span id='phrase_example'>journeyed</span> to Europe  with five suitcases .</p>
f:Rewards_and_punishments,"An <em>Agent</em> (the punisher or rewarder) performs a <em>Response action</em> on an <em>Evaluee</em> for a <em>Reason</em>, the <em>Evaluee</em>'s actions or beliefs.   <em>Means</em> and <em>Instrument</em> may also be indicated.The goal of the punishment/reward is  to discourage/encourage the actions or beliefs.  Words with this definition presuppose that a judgment of the <em>Evaluee</em> has occurred and that the <em>Evaluee</em> is (or becomes) aware of the judgment.  This judgment was performed by a cognizer which is either the same as the <em>Agent</em>, or, minimally, a representative of the same institution.",<p class='list-group-item'>I believe that this behaviour should be subject to <span id='phrase_example'>disciplinary</span>  action .</p><p class='list-group-item'>The <span id='phrase_example'>penalty</span>  for this crime  is  death . </p><p class='list-group-item'> Her <span id='phrase_example'>punishment</span>  was too harsh.</p><p class='list-group-item'> His <span id='phrase_example'>punishment</span> of the prisoners  was too harsh.</p>
f:Hindering,"A <em>Hindrance</em> makes it more difficult for a <em>Protagonist</em> to complete their intended <em>Action</em> or a <em>Hindrance</em> directly affects an <em>Action</em> where the <em>Action</em> can be a natural act or the actions of many individuals in a collective endeavor.  Crucially, these lexical units do not entail that the <em>Protagonist</em> was unable to complete the <em>Action</em> or that the <em>Action</em> did not occur. The <em>Hindrance</em> may indicate a lack of enablement or an obstacle on the natural progression of the <em>Protagonist</em> or <em>Action</em>",<p class='list-group-item'>The new dam <span id='phrase_example'>impeded</span> the flow of water  . </p><p class='list-group-item'> Many candidates' progress  is  severely  <span id='phrase_example'>impeded</span>  because they have to resit for the exam . </p><p class='list-group-item'> A lack of money <span id='phrase_example'>hampered</span> our plans  . </p><p class='list-group-item'> Malcolm  was <span id='phrase_example'>hindered</span>  by his drinking problem  .</p>
f:Revenge,"The infliction of punishment in return for a wrong suffered. An <em>Avenger</em> performs a <em>Punishment</em> on a <em>Offender</em> as a consequence of an earlier action by the <em>Offender</em>, the <em>Injury</em>. The <em>Avenger</em> inflicting the<em>Punishment</em> need not be the same as the <em>Injured Party</em> who suffered the <em>Injury</em>,  but the <em>Avenger</em> does have to share the judgment that the <em>Offender</em>'s action was wrong. The judgment that the <em>Offender</em> had inflicted an <em>Injury</em>  is made without regard to the law.","<p class='list-group-item'>(3) The next day, the Roman forces took <span id='phrase_example'>revenge</span>  on their enemies. .</p><p class='list-group-item'>(2)  Lachlan  went out to <span id='phrase_example'>avenge</span>  them .</p><p class='list-group-item'>(1)  They  took <span id='phrase_example'>revenge</span>  for the deaths of two loyalist prisoners .</p>"
f:Body_movement,"Words for motions or actions an <em>Agent</em> performs using some part of his/her body. A number of words with this definition occur as blends with Communication, in which the action has an <em>Addressee</em>.",<p class='list-group-item'>The boy <span id='phrase_example'>swung</span> his legs  from under the table .</p><p class='list-group-item'>She <span id='phrase_example'>nodded</span> to him to sit down.</p><p class='list-group-item'>Pat <span id='phrase_example'>nodded</span>  at Kim .</p>
f:Individual_history,"This scenario describes a series of Events, associated a single Participant, i.e., the history of the Participant. The Events do not necessarily form a coherent whole (e.g., are not necessarily causally related), but merely occupy a period of time. In many cases the history is limited to what are considered the important or significant events. Words with this definition can also denote the time period over which the sequence of Events took place.","<p class='list-group-item'>Our areas of strength are  British, American and European  <span id='phrase_example'> History </span>  from 1492   to 2000 .</p><p class='list-group-item'>The following sections document the entire  25-year  <span id='phrase_example'> history </span>  of the company .</p><p class='list-group-item'>We've been worried about  our recent hire's  <span id='phrase_example'> history </span>  of deceiving employers .</p>"
f:Part_inner_outer,"<em>Part</em>s of objects that are defined relative to the center or edge of the object.  The <em>Part</em> is a part of the <em>Whole</em> and the <em>Part Prop</em> describes a property of the <em>Part</em>...  In cases where the <t>Target</t> is an adjective, it has a special relationship with the noun that it modifies such that a phrase which is a syntactic argument of the noun is semantically available to fill the argument structure of the adjective, as in �the <t>outside</t> <em>row</em> <em>of the class</em>�",<p class='list-group-item'>The <span id='phrase_example'>inner</span>  shelf   of the bookcase  was lying on the floor.</p><p class='list-group-item'> She preferred a sparse  church  <span id='phrase_example'> interior </span> . </p><p class='list-group-item'>She discarded the <span id='phrase_example'> exterior </span>  of the walnut</p>
f:Type,"Nouns denoting types of entities. The <em>Subtype</em> refers to a collection of members of a more general <em>Category</em> which have certain defining characteristics; alternatively, the <em>Subtype</em> refers only to the type itself, i.e. a more restrictive set of characteristics than those of the more general <em>Category</em>.  The properties of the items that are included in the collection may be specified by the <em>Item Property</em>.  Sometimes the <em>Subtype</em>s themselves are described by some <em>Type Property</em>.",<p class='list-group-item'>I think that she was referring to the other <span id='phrase_example'> type </span>.   </p><p class='list-group-item'>He argued against the  formalist  <span id='phrase_example'> type </span>  of analysis of art .</p><p class='list-group-item'>Kleo isn't  our  <span id='phrase_example'> sort </span>  of people .</p><p class='list-group-item'>I don't like this  newfangled  <span id='phrase_example'> kind </span>  of  fish .</p>
f:Judgment_communication,"A <em>Communicator</em> communicates a judgment of an <em>Evaluee</em> to an <em>Addressee</em>.  The judgment may be positive (e.g. praise) or negative (e.g. criticize), and this is indicated by the semantic types Positive and Negative attached to the lexical units.  Does not contain words where <em>Evaluee</em> and the <em>Addressee</em> are necessarily the same . It involves the communication of an evaluation, rather than merely forming and holding a particular evaluation.",<p class='list-group-item'>Gaston <span id='phrase_example'>denounced</span> him  to the committee .</p><p class='list-group-item'> I <span id='phrase_example'>commended</span> his handling of the crisis .</p>
f:Exchange,"Two parties, the <em>Exchangers</em>, each give and receive from the other <em>Themes</em>. The parties are also construable separately as <em>Exchanger 1</em> and <em>Exchanger 2</em>,  in which case the <em>Themes</em> may be construed separately, too, as <em>Theme 1</em> and <em>Theme 2</em>.",<p class='list-group-item'>We <span id='phrase_example'>exchanged</span>  addresses  and he told us that next year when we are in Aruba we will visit with his family there. </p><p class='list-group-item'>Then  the teams  <span id='phrase_example'>swapped</span>  their draftees .</p><p class='list-group-item'> They <span id='phrase_example'>swapped</span> the island  with the Neapolitan government of the day  for the much smaller Capri .</p>
f:Dimension,"Words that express an <em>Object</em>'s position on a scale, its <em>Measurement</em>, with respect to some attribute, its <em>Dimension</em>.  <em>Location</em>,  identifying the sub-region of the <em>Object</em> where the <em>Dimension</em> is measured, may also be expressed. Adjectives must appear with a measurement expression like 5 cm.Note the tagging of  six feet on the GF and PT layers in the following sentence.The GF of six feet is Dep and the PT is NP.",<p class='list-group-item'>The woman  was  six feet  <span id='phrase_example'>tall</span>.</p><p class='list-group-item'> The  new vase  is  5 cm  in <span id='phrase_example'>circumference</span>  at the top .</p><p class='list-group-item'> The tower  is  10 feet  <span id='phrase_example'>tall</span>.</p>
f:Placing,"Generally without overall (translational) motion,  an <em>Agent</em> places a <em>Theme</em> at a location, the <em>Goal</em>, which is profiled.  The <em>Theme</em> is under the control of the <em>Agent</em>/<em>Cause</em> at the time of its arrival at the <em>Goal</em>. It focuses on the <em>Theme</em> rather than the effect on the <em>Goal</em> entity.  It differs from Removing in focusing on the <em>Goal</em> rather than the <em>Source</em> of motion for the <em>Theme</em>.",<p class='list-group-item'>David <span id='phrase_example'>placed</span> his briefcase  on the floor .</p>
f:Scrutiny,"A <em>Cognizer</em> (a person or other intelligent being) paying close attention to something, the <em>Ground</em>, in order to discover and note its salient characteristics.  The <em>Cognizer</em> may be interested in a particular characteristic or entity, the <em>Phenomenon</em>, that belongs to the <em>Ground</em> or is contained in the <em>Ground</em> (or to ensure that such a property of entity is not present). Some words allow alternate expressions of the <em>Ground</em>and the <em>Phenomenon</em>:",<p class='list-group-item'>We <span id='phrase_example'>searched</span>  the yard    for my contact lens .</p>
f:Biological_urge,"An <em>Experiencer</em> is in a <em>State</em> where a biological urge is signaling the need to perform a certain action such as eating, drinking, stopping exertion, sleeping, regurgitating, or having sex.The <em>Duration</em>, <em>Time</em>, <em>Place</em>, or <em>Degree</em> of intensity associated with the occurrence of the urge may also be indicated.  The <em>Experiencer</em> does not necessarily want to perform the action that would fulfill the urge, and there is no specific focus associated with the urge.",<p class='list-group-item'>Sam was<span id='phrase_example'>thirsty</span> after dinner .</p><p class='list-group-item'> Mike feels<span id='phrase_example'>hungry</span>.</p>
f:Source_of_getting,"A <em>Goal</em> has a <em>Source</em> from which it has gotten a <em>Theme</em>.The <em>Goal</em> may be a sentient recipient who has actively obtained the <em>Theme</em> but it may also  be a non-sentient entity that gets the <em>Theme</em> as a result of natural or other processes that it does not control.  Covers metaphorical uses those cases where a person has obtained <b>information</b> from another person or a textual source, which they typically intend to disseminate further.",<p class='list-group-item'>Crews was held in contempt and ordered to jail after refusing to reveal  his   <span id='phrase_example'>source</span>   for the claim that Big Basket Weaving is circumventing import tariffs on reed.  </p><p class='list-group-item'>This is not true according to  our   <span id='phrase_example'>source</span> .   </p><p class='list-group-item'> The state  remains the dominant <span id='phrase_example'>source</span>  of research funding .    </p><p class='list-group-item'>Pakistan informed IAEA and US officials investigating the network that  North Korea  was the <span id='phrase_example'>source</span>  of the uranium shipment    .</p><p class='list-group-item'> she is my friend...not to mention  my  <span id='phrase_example'>source</span>  for French madeleines !</p>
f:Risky_situation,"A particular <em>Situation</em> is likely (or unlikely) to result in a harmful event befalling an <em>Asset</em>. The <em>Situation</em> may be a state, an activity, or some focal entity that must be inferred to be part of some larger Situation involving both it and the <em>Asset</em>.",<p class='list-group-item'>The primary <span id='phrase_example'>risk</span> is  to our infrastructure .</p><p class='list-group-item'>Customers can make complaints about <span id='phrase_example'>unsafe</span>  products .</p><p class='list-group-item'>Is climate change <span id='phrase_example'>dangerous</span> for mankind ?</p>
f:Experiencer_focus,"An <em>Experiencer</em>'s emotions with respect to some <em>Content</em>. A <em>Reason</em> for the emotion may also be expressed.  Although the <em>Content</em> may refer to an actual, current state of affairs, quite often it refers to a general situation which causes the emotion.  With certain verbs, the <em>Circumstances</em> can be expressed in a finite clausal or wh- complement which may optionally be preceded by a Null NP Object: Note: This is not how it is currently tagged.",<p class='list-group-item'>I <span id='phrase_example'>hate</span> it  when you do that .</p><p class='list-group-item'> Smoking <ment>gives</ment>  me   extreme  <span id='phrase_example'>pleasure</span>.</p><p class='list-group-item'> Sergio derives great <span id='phrase_example'>pleasure</span> from  smoking .</p><p class='list-group-item'> Smithers takes great <span id='phrase_example'>pleasure</span> in collecting matchboxes .</p><p class='list-group-item'> My <span id='phrase_example'>enjoyment</span> of the movie  was considerably impaired by the seven-foot guy sitting in front of me.</p>
f:Cause_change_of_consistency,An <em>Agent</em> or <em>Cause</em> changes the consistency of an <em>Undergoer</em> from its <em>Initial state</em> to a <em>Result</em>.  This may take place under certain <em>Circumstances</em> for a <em>Purpose</em> or <em>Reason</em> in a certain <em>Manner</em>.  A <em>Change agent</em> can also be used.  Describes causation of a change in an <em>Undergoer</em> within a particular phase.,<p class='list-group-item'>The high temperatures <span id='phrase_example'>curdled</span> the milk .</p><p class='list-group-item'> Donna <span id='phrase_example'>thinned</span> the soup  with chicken broth .</p>
f:Emptying,"These are words relating to emptying containers and clearing areas of some substance or items. The area or container can appear as the direct object with all these verbs, and is designated  <em>Source</em> because it is the source of motion of the <em>Theme</em>. Corresponding to its nuclear argument status, it is also affected in some crucial way. Some words with this definition, such as empty, may also occur with <em>Path</em> or <em>Goal</em> expressions, e.g.",<p class='list-group-item'>The players <span id='phrase_example'>emptied</span> the bucket  over his head .</p>
f:Explaining_the_facts,"A <em>Question</em> about the reason or cause of a known <em>State of affairs</em> is presented as being answered by the existence of a particular <em>Fact</em>.  The exact chain of reasoning, including the answer itself, of which the <em>Fact</em> is a part is not specified.","<p class='list-group-item'>Somehow  this <span id='phrase_example'>explains</span> why Apple is always  the last man to get the technology .</p><p class='list-group-item'> That <span id='phrase_example'>explains</span> it .</p><p class='list-group-item'> Lack of potential for improvement in the immediate future <span id='phrase_example'>accounts</span> for the low number of returnees into South Ossetia, even for the Ossetian ethnic group .</p><p class='list-group-item'>Then  that I exist  is <span id='phrase_example'>explained</span>  by A and B having come together .</p><p class='list-group-item'> The nation's history <span id='phrase_example'>explains</span> why the current conflict succumbs to, and yet simultaneously transcends, the stereotype .</p><p class='list-group-item'> Ruby's orange vest marked with the words service dog <span id='phrase_example'>accounts</span> for why the 3-year-old goes along .</p>"
f:Reshaping,"An <em>Deformer</em> deforms an <em>Undergoer</em> possibly against a <em>Resistant surface</em> such that it undergoes a shape-change from its canonical or original shape into the <em>Result</em>, a new shape. Some of these words indicate that the <em>Result</em> is an undesirable alteration of the norm, and in such cases the lexical unit is marked with the semantic type Negative.  Does not include senses that specifically indicate causing harm to a living being.","<p class='list-group-item'>A killer hurricane  nearly <span id='phrase_example'>flattened</span> Sylvester Stallone's five luxury homes in Hawaii .</p><p class='list-group-item'>Mix butter and sardines very thoroughly , <span id='phrase_example'>mashing</span>  them   with a fork   until you have a smooth paste .   </p><p class='list-group-item'> Michael <span id='phrase_example'>flattened</span> the can  against his head .</p><p class='list-group-item'> Ellen <span id='phrase_example'>crumpled</span> the paper  into a ball .</p>"
f:Guilt_or_innocence,"An <em>Accused</em> individual is deemed by a (usually implicit) <em>Judge</em> to be involved (or not) in a <em>Misdeed</em>. Is not  limited to technical, legal uses. The use of guilty in this definition is not referring to an emotional state. Innocent can mean 'ignorant of'; 'innocuous'; 'pure and unsullied by experience'.","<p class='list-group-item'>It is possible that  the Frauleins Krabbe , Breuer and Moller  are <span id='phrase_example'>guilty</span>  of serious wrongdoing .</p><p class='list-group-item'> I am<span id='phrase_example'>innocent</span> of this crime  and so is James Griffiths .</p>"
f:Cause_change_of_phase,"A <em>Cause</em> or <em>Agent</em> causes an <em>Undergoer</em> to undergo a change of phase.  The <em>Result</em> of the change may be given, along with the <em>Initial state</em> and the <em>Circumstances</em> under which the change can occur.  Describes causation of a change of an <em>Undergoer</em> between different phases (i.e. solid to liquid or frozen to �unfrozen�).",<p class='list-group-item'>Sally <span id='phrase_example'>defrosted</span> the chicken  to eat for dinner . </p><p class='list-group-item'> Bob <span id='phrase_example'>melted</span> the butter .</p>
f:Operating_a_system,"An <em>Operator</em> manipulates the substructure of a <em>System</em> such that the <em>System</em> performs the function it was created for.Does not profile the purpose of an agent but rather their manipulation of an entity (<em>System</em>/Instrument). In the case of using, the Agent need not manipulate the Instrument at all, as in: Mrs. Adams used the room as a place to hang the family laundry to dry.",<p class='list-group-item'>A California man has plead guilty to federal charges that  he  <span id='phrase_example'>ran</span>  a pyramid scam which defrauded nearly 7000 investors. </p><p class='list-group-item'>This true story of domestic bliss was related to me by  a friend of mine   who  for a time <span id='phrase_example'>operated</span>  a bar   in San Francisco .</p>
f:Wearing,"What <em>Clothing</em> the <em>Wearer</em> (or a specific <em>Body part</em> of the <em>Wearer</em>) has on.Many targets incorporate the <em>Clothing</em> item, and some targets describe the state of not wearing something (when it might be expected).  NB: There is a very common metonymy in which characteristics of the clothing stand for the clothing itself, such as Such sentences should be tagged METAPHOR on the sentence level.",<p class='list-group-item'>She  was <span id='phrase_example'>dressed</span>  all in red .</p><p class='list-group-item'>the  man  <span id='phrase_example'>clad</span>  in leather .</p><p class='list-group-item'>Do you think anyone would notice if  I  <ment>went</ment> <span id='phrase_example'>topless</span>?</p><p class='list-group-item'> These two losers  were <span id='phrase_example'>wearing</span>  bras   on their heads !</p><p class='list-group-item'> I <span id='phrase_example'>had</span><span id='phrase_example'>on</span> the most ridiculous monkey-suit you could imagine .</p>
f:Preventing,"A <em>Preventing cause</em> or an <em>Agent</em> (via their actions) keeps an <em>Event</em> from taking place. The <em>Preventing cause</em> does not directly prevent the actions of an individual, but rather affects the world in such a way that an <em>Event</em> cannot occur. Some lexical units, like <t>avert</t> and <t>avoid</t> indicate that the <em>Preventing cause</em> would have been affected if the <em>Event</em> occurred.",<p class='list-group-item'>The government  narrowly <span id='phrase_example'>averted</span>  a coup  . </p><p class='list-group-item'> He  could have <span id='phrase_example'>stopped</span>  the riot  .</p><p class='list-group-item'> Rain <span id='phrase_example'>prevented</span> the ball game  from taking place .</p>
f:Operate_vehicle,"Motion involving a <em>Vehicle</em> and someone who controls it, the <em>Driver</em>. Some words normally allow the <em>Vehicle</em> to be expressed as a separate constituent. Other words in this domain are based on the names of vehicles, and do not normally allow the <em>Vehicle</em> to be expressed as a separate constituent. However, a separate <em>Vehicle</em> constituent can occur if it adds information not included in the verb.",<p class='list-group-item'>Tim <span id='phrase_example'>biked</span> across the country  on an old 10-speed .</p><p class='list-group-item'> The group <span id='phrase_example'>biked</span> all the way across the country.</p><p class='list-group-item'> Tom <span id='phrase_example'>paddled</span> my canoe  across the Canadian border .</p><p class='list-group-item'> Tim <span id='phrase_example'>drove</span> his car  all the way across North America .</p>
f:Leadership,"These are words referring to control by a <em>Leader</em> over a particular entity (the <em>Governed</em>) or an <em>Activity</em>. The definition refers to both nouns referring to a title or position (e.g. director, king, president), and verbs describing the action of leadership (e.g. rule, reign). With verbs, it is possible to mention the <em>Role</em> played by the <em>Leader</em> (often a name of a leading position, e.g., king)",<p class='list-group-item'>Louis XIV <span id='phrase_example'>ruled</span> over his people  as king  for the longest period of any European monarch .</p><p class='list-group-item'>   In 1789    Fletcher Christian   <span id='phrase_example'>led</span>   the mutiny on HMS Bounty </p><p class='list-group-item'> Sebek em hat was a <span id='phrase_example'>Leader</span>  of Priests . ca. 1780 BC</p>
f:People_by_residence,"Words for individuals, i.e. humans, with respect to their  proximity of residence. This relationship may be defined either symmetrically (as <em>Residents</em>) or asymmetrically (in terms of a <em>Known resident</em> and a <em>Indicated resident</em>).  The <em>Residents</em> or the <em>Indicated resident</em> may have an <em>Age</em>, <em>Descriptor</em>, <em>Persistent characteristic</em>, or <em>Ethnicity</em> specified.","<p class='list-group-item'>I have a  Swedish  <span id='phrase_example'> roommate </span> that translated for me! </p><p class='list-group-item'>The dead included homeowner Todd Underfoot, 33, his wife Spring Back Underfoot, 32,  their  <span id='phrase_example'>housemate</span>,  Luisa Life , 46, and two of the Underfoot's three children.</p>"
f:Surpassing,"A <em>Profiled item</em> is higher that its <em>Standard item</em> on a scale with respect to some <em>Attribute</em>. The <em>Extent</em> of the difference between the <em>Standard item</em> and the <em>Profiled item</em> may also be mentioned. Furthermore, the particular value of the standard or profiled item on a certain scale may be given by the <em>Standard attribute</em> of the <em>Profiled attribute</em> respectively.",<p class='list-group-item'>The current price <span id='phrase_example'>surpasses</span> the price this time last year .</p><p class='list-group-item'> We <span id='phrase_example'>surpassed</span> father's skills   before we were 12   . </p><p class='list-group-item'>  Radio WKRR  far <span id='phrase_example'>surpasses</span> all radio stations  among rural radio stations   as the leading source of regional news   . </p><p class='list-group-item'> Notices for the Shield Theater's production of Macbeth <span id='phrase_example'>surpassed</span> all previous reviews  .</p>
f:Cause_to_fragment,"An <em>Agent</em> suddenly and often violently separates the <em>Whole patient</em> into two or more smaller <em>Pieces</em>, resulting in the <em>Whole patient</em> no longer existing as such.  Several lexical items are marked with the semantic type Negative, which indicates that the fragmentation is necessarily judged as injurious to the original <em>Whole patient</em>.","<p class='list-group-item'><span id='phrase_example'>Tear</span> into 6 inch strips, each about one inch wide , then bake at 400.     </p><p class='list-group-item'> She <span id='phrase_example'>shattered</span> the vase  with a casual backhand blow  to make it look like there had been a struggle .   </p><p class='list-group-item'>Don't go in there or  you  'll be <span id='phrase_example'>torn</span>  to bits !   </p><p class='list-group-item'> He <span id='phrase_example'>ripped</span><span id='phrase_example'>up</span> the letter  faster than you can say Jack Robbins .</p>"
f:Meet_specifications,"An <em>Agent</em> or <em>Entity</em> becomes sufficient enough to meet a <em>Standard</em>.  Alternatively, an action or occurrence can be thought of as <em>Event</em> that fulfills a <em>Standard</em>.  The <em>Agent</em>, <em>Entity</em>, or <em>Event</em> can be conceptualized as being on a scale where a change of value or circumstances brings it in line with the position of the <em>Standard</em> on the scale.",<p class='list-group-item'>Will  Ben  <span id='phrase_example'>fulfill</span>  his obligation to Margaret  ?</p><p class='list-group-item'> This paper  does not <span id='phrase_example'>meet</span>  the requirements for graduation .</p>
f:Emotion_active,"Has similarities to Experiencer subject, but here the verbs are more 'active' in meaning. (For example, they often occur in negative imperatives, e.g. ‘Don't worry!’).  They also differ from Experiencer subject verbs in that they occur with <em>Topic</em> expressions and  can be used in the present progressive:  *Pat is fearing the exam.",<p class='list-group-item'>Pat is still <span id='phrase_example'>worrying</span>  about the exam .</p>
f:Damaging,"An <em>Agent</em> affects a <em>Patient</em> in such a way that the <em>Patient</em> (or some <em>Subregion</em> of the <em>Patient</em>) ends up in a non-canonical state.  Often this non-canonical state is undesirable, and some lexical units (marked with the Negative semantic type) specifically indicate that the <em>Patient</em> is negatively affected.",<p class='list-group-item'>Please don't <span id='phrase_example'>damage</span>  the goods .</p><p class='list-group-item'> Some ne'er-do-wells <span id='phrase_example'>defaced</span> the Park's wall  with spray paint  to show their anger at local natural resources allocation policy .</p><p class='list-group-item'> That idiot  just <span id='phrase_example'>dented</span>  my car !</p>
f:Thwarting,"A <em>Preventing cause</em> interferes with the ability of a <em>Protagonist</em> to complete an intended <em>Action</em>. The <em>Protagonist</em> may not be mentioned in the sentence, in which case the <em>Action</em> is an endeavor that an individual or group of individuals hopes to accomplish. It is necessary that the <em>Protagonist</em> is unable to successfully complete the <em>Action</em>.",<p class='list-group-item'>He  was <span id='phrase_example'>foiled</span>  in his attempt to overthrow the government . </p><p class='list-group-item'> He <span id='phrase_example'>prevented</span> her  from running away . </p><p class='list-group-item'> Noriega's troops <span id='phrase_example'>foiled</span> a coup attempt .</p>
f:Clothing,"Clothing and its characteristics,  including anything that people conventionally wear.  The <em>Wearer</em> wears a <em>Garment</em> that has a certain <em>Style</em>, is made of a certain <em>Material</em>, and can be otherwise characterized by a <em>Descriptor</em>.  In some cases, the <em>Body location</em> (where the garment is worn) and <em>Subregion</em> of the clothing may also be specified.","<p class='list-group-item'>Claudia dressed in a  dark   green   cotton  <span id='phrase_example'>DRESS</span> clasped round her slender waist with a broad yellow belt , drank a cup of coffee and opened her neglected post .</p>"
f:Part_orientational,"There is a <em>Part</em> of a <em>Whole</em> in which the <em>Part</em> is defined with respect to the canonical or inherent orientation of the <em>Whole</em>. In cases where the <t>Target</t> is an adjective, it has a special relationship with the noun that it modifies such that a phrase which is a syntactic argument of the noun is semantically available to fill the argument structure of the adjective, as in",<p class='list-group-item'>He rested on the  cliff <span id='phrase_example'> top </span></p><p class='list-group-item'> My <span id='phrase_example'>left</span> hand  was numb.</p><p class='list-group-item'>The <span id='phrase_example'> bottom </span> was missing.</p><p class='list-group-item'>The <span id='phrase_example'>top</span>   shelf   of the bookcase  was lying on the floor.</p><p class='list-group-item'>the <span id='phrase_example'>front</span>   row   of the class</p>
f:Quantity,"Transparent nouns (and some adjectives) denoting quantities of a <em>Mass</em> or of <em>Individuals</em>. As opposed to aggregate words such as group, set, these <em>Quantity</em> do not have a status as Wholes on their own.",<p class='list-group-item'>He found them in the  <span id='phrase_example'>deluge</span>   of papers  on his desk.</p>
f:Range,"There is a certain physical <em>Distance</em> within which some other entity can participate in an <em>Event</em> (typically perception or manipulation) with the <em>Participant</em>.  Alternatively, the <em>Event</em> may be indicated metonymically by a <em>Instrument</em> .  [Note the connection with *Distance, Sufficiency, and Capability.  Words with this definition can generally be paraphrased �close enough to be able to�.]","<p class='list-group-item'>Jordanian troops came within easy <span id='phrase_example'> strike </span> of Israel.</p><p class='list-group-item'>I would consider  striking  <span id='phrase_example'>distance</span> to <ment>be</ment>  about two meters  for this weapon.</p><p class='list-group-item'>But then they passed out of  my  <span id='phrase_example'> earshot </span>.  INC </p><p class='list-group-item'>They are now within  missile  <span id='phrase_example'> range </span>.</p><p class='list-group-item'>They are now within  our missile 's  <span id='phrase_example'> range </span>.</p><p class='list-group-item'>They are now within  our   missile  <span id='phrase_example'> range </span>.</p><p class='list-group-item'>I'm sorry, but he was well within the  blast  <span id='phrase_example'> range </span>.</p>"
f:Finish_game,"A <em>Player</em> finishes a <em>Game</em>, possibly with an outcome of winning or losing. A <em>Game</em> is an activity that is considered recreational, and is valued for associated pleasure, as well as social interaction, material reward, or status. Not all games can be won or lost.",<p class='list-group-item'>John <span id='phrase_example'>lost</span>. </p><p class='list-group-item'> John <span id='phrase_example'>won</span> the lottery !</p>
