frame,definition,example,frame_word,def_len
f:Namesake,"An <em>Entity</em> shares a name with its <em>Namesake</em>. Note that the shared name is not a frame element as it cannot be directly expressed as an argument of the target lexical units in this frame.
"," Alberta's  <span id='phrase_example'>namesake</span> caught in royal scandal

  <span id='phrase_example'>namesake</span>  caught in royal scandal

Instead, the <span id='phrase_example'>eponymous</span>  character  is a mildly retarded woman, Martha (Winger), whose simplistic view on life places her in ethically compromising positions.   

 He  is  my  <span id='phrase_example'>namesake</span>, one amongst the many described in my homepage, and is much better qualified to write a page like this.",TRUE,207
f:Extreme_point,"An <em>Entity</em> that has characteristics which change over time is at a point or in a phase of its development in which, compared to other actual or expected stages of development, it possesses extremely high or low powers or intensity.  The high or low level of development correlates with the occurrence of a <em>Marker</em>, a product produced by the <em>Entity</em> or an event in which it participates, which is indicative of the <em>Entity</em>'s abilities or intensity.
"," The Tang Dynasty  was the <span id='phrase_example'>high point</span>  of the Silk Road's importance .

 Meeting Fiona Bennett  was the <span id='phrase_example'>LOW POINT</span>  of my summer .

It must be remembered that this man was born at the  <span id='phrase_example'>zenith</span>   of the Victorian age  and witnessed the glory of Britain at her greatest.

But Lubitsch was at the  <span id='phrase_example'>high point</span>   of his genius , and he has made a masterpiece not to be missed.",TRUE,488
f:Rashness,"A <em>Protagonist</em> performs some <em>Action</em> without fully considering the circumstances under which he or she acts, or the possibly (negative) consequences of the <em>Action</em>.  Alternatively, the <em>Action</em> itself may be portrayed as having been performed under rushed circumstances.
","Would it be a little <span id='phrase_example'>impatient</span>  of me   to ask when an album might appear ?

He was quick to move, alert and forceful, as  he  was <span id='phrase_example'>impetuous</span>  in attacking an enemy ",TRUE,310
f:Popularity,"An <em>Evaluee</em>, which can be a person or an object, has an amount of acceptability or utilization based on general (often non-aesthetic) desirability. The <em>Judge</em> who determines the <em>Evaluee</em>'s desirability may be mentioned.
"," Frank Sinatra  is <span id='phrase_example'>cool</span> again.

 Web 2.0  is  so  <span id='phrase_example'>in</span>  right now .",TRUE,250
f:Partitive,"A <em>Subset</em> is profiled against the <em>Group</em> it belongs to. The <em>Subset</em> may consist of a single member. Frequently, the <em>Group</em> is actually a generic sample of a full population, and the <em>Subset</em> is  representative of the relative proportion.
","<span id='phrase_example'>Of</span>  all scenes that evoke rural England ,  this  is one of the loveliest.

 As of 5:30 p.m. Moscow time,  23  <span id='phrase_example'>out</span> <span id='phrase_example'>of</span>  46 miners stranded in the Zapadnaya-Kapitalnaya mine  have been rescued

 1.5  <span id='phrase_example'>out</span> <span id='phrase_example'>of</span>   10 respondents  preferred Shrub over Ferry
",TRUE,287
f:Measure_area,This transparent noun frame is concerned with <em>Unit</em>s for measuring the <em>Area</em> of regions.,"Hillary lives in the middle of  10  <span id='phrase_example'> acres </span>  of wheat .
Paul owns  20   <span id='phrase_example'>hectares</span>   of land .",TRUE,108
f:Actually_occurring_entity,"Against the background of a contextually salient non-real world, for instance a hypothetical, imagined, simulated, expected, projected, or dream world, an <em>Instance</em> of a <em>Type</em> encountered in a relation or event in the real world is presented as being different from the instance found in the non-real world. Of course, the real-world <em>Instance</em> of the expected <em>Type</em> may also be presented as not occurring, as in the last example below.
","<span id='phrase_example'>Actual</span>  results  may vary.

 ACTUAL results  may vary.

Also present is the <span id='phrase_example'>actual</span>  policeman , now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.

Also present is  the ACTUAL policeman , now 20 years older and helping to cast and prepare the young actor who'll be portraying him onscreen.

Of course, an <span id='phrase_example'>actual</span>  car  with all these capabilities simply did not exist.

Of course,  an ACTUAL car  with all these capabilities simply did not exist.
",TRUE,476
f:Subjective_temperature,"An <em>Experiencer</em> senses different degrees of warmth that may or may not be related to the ambient temperature. The level of warmth is usually compared against the <em>Experiencer</em>'s subjective standard of comfort.
"," My feet  are <span id='phrase_example'>cold</span>.

The fire will keep  you  <span id='phrase_example'>warm</span>.

 I 'm  too  <span id='phrase_example'>hot</span> with this sweater on.",TRUE,229
f:Grasp,"A <em>Cognizer</em> possesses knowledge about the workings, significance, or meaning of an idea or object, which we call <em>Phenomenon</em>, and is able to make predictions about the behavior or  occurrence of the <em>Phenomenon</em>. The <em>Phenomenon</em> may be incorporated into the wider knowledge structure via categorization, which can be indicated by the mention of a <em>Category</em>. The <em>Cognizer</em> may possess knowledge only in part and this may be expressed in a <em>Completeness</em> expression. The <em>Cognizer</em> may also be realized as a cognitive-emotional <em>Faculty</em> that is conceived of as having understanding. Note that the knowledge may have been acquired either from instruction or from the <em>Cognizer</em>'s own experimentation, observation, or mental operations."," Our sensations  are in some sense to be <span id='phrase_example'>understood</span>  in terms of a set of stimulation levels (spiking frequencies) in the appropriate sensory pathways .   
 The mind  is often unable to <span id='phrase_example'>comprehend</span>  the significance of what it perceives .
I realized  I  had not  properly  <span id='phrase_example'>understood</span>  my own needs 
Nobody seems to have explained this to her, but  finally   she  <span id='phrase_example'>understands</span>   
 The draughtsman  must  fully  <span id='phrase_example'>comprehend</span>  what he is drawing 
 My father  failed to <span id='phrase_example'>comprehend</span>  that his explanations were based as much upon faith as mine 
I figured this out last week and now  I   really  <span id='phrase_example'>understand</span>  it .
",TRUE,938
f:Remembering_experience,"A <em>Cognizer</em> calls up an episodic memory of past <em>Experience</em> or an <em>Impression</em> of a <em>Salient entity</em> formed  on the basis of past experience. The <em>Cognizer</em> may also remember  the <em>Salient entity</em> in a particular <em>State</em>, which serves as a frame of reference in the <em>Cognizer</em>'s mind.   When attention is focused on a <em>Salient entity</em>, then mention of a global <em>Experience</em> is excluded and typically, but not always, either a <em>State</em> or <em>Impression</em> of the <em>Salient entity</em> is presented.<ex/>Episodic memory is the  explicit memory of events. It includes time, place, and associated emotions (which affect the quality of the memorization). Episodic memory contrasts and interacts with semantic memory, the memory of facts and concepts. This definition is concerned with this latter type of memory."," The part  I  vividly <span id='phrase_example'>remember</span> was about a South Seas tramp steamer captain . 
   He  <span id='phrase_example'>remembered</span>   him    as a kindly man but not a very lively one. 
Retro games are great, but a lot of the time  people  get clouded by nostalgia and <span id='phrase_example'>remember</span> them   to be better than they really were 
When he died he was just a kid himself but for some reason at the age of 44  I  still <span id='phrase_example'>remember</span> him   as older than me . 
Somehow  I  <span id='phrase_example'>remember</span>  him   as older, with long eyelashes, and doe eyes .
Hummel says  staff, both students and professional,  <span id='phrase_example'>remember</span> her   as a very good friend, available for new staff and well-respected by everyone. 
 I wanted to <span id='phrase_example'>remember</span>  how good that felt .
 Who <span id='phrase_example'>remembers</span> me being a total dork and going up to everyone saying Hey, I'm Ashley Hunt from Chicago !?!
That's probably before my time, which was long time ago,  Fish  may <span id='phrase_example'>remember</span>  that time .
 Kozmo  could <span id='phrase_example'>remember</span>  when his modem was the fastest he could buy .
 
",TRUE,934
f:Similarity,"Two or more distinct entities, which may be concrete or abstract objects or types, are characterized as being similar to each other.   The similarity may be based on appearance, physical properties, or other characteristics of the two entities. However, no such <em>Dimension</em> has to  be specified explicitly.  The <em>Entities</em> may be like each other to a greater or lesser <em>Degree</em>. Rather than specifying the <em>Dimension</em> of difference, a <em>Differentiating fact</em> may be mentioned. "," Lothlorien is quite <span id='phrase_example'>like</span> most of their other war games  really.
 Great Britain and Germany were only <span id='phrase_example'>alike</span>  in one respect .
 Recovering it afterwards  can also be <span id='phrase_example'>similar</span>  to collecting an unsecured loan  
A mulberry   is   very  <span id='phrase_example'>similar</span>   in shape    to a loganberry 

 
",TRUE,907
f:Subjective_influence,"An <em>Agent</em>, <em>Situation</em> or <em>Entity</em> has an influence on a <em>Cognizer</em>. The influence may be general; or it may be manifested in the <em>Cognizer</em>'s engaging in an <em>Action</em> as a consequence of the influence; or the <em>Cognizer</em> may be influenced in how they carry out a <em>Behavior</em> that they are engaged in already. Alternatively, a <em>Product</em> may be specified whose production or design was influenced by the <em>Cognizer</em>'s experience of the  <em>Situation</em> or <em>Entity</em>.","I'm sure if I asked Mattel  what  <span id='phrase_example'>inspired</span>  this car  I would be told it's an original design, and not supposed to represent any actual car.
 These works  had a profound effect and <span id='phrase_example'>influenced</span>  her   in the creation of a successful series capturing this sun-drenched region .
 
",TRUE,883
f:Sending,"A <em>Sender</em> plans the <em>Path</em> (along with <em>Source</em> and <em>Goal</em>) of a <em>Theme</em> and places it in circumstances such that it travels along this <em>Path</em> under the power of some entity other than the <em>Sender</em>.  This definition also has a <em>Recipient</em> distinct from the <em>Goal</em>, as both can be present.","I <span id='phrase_example'>sent</span>  Bill  the manuscript.
I <span id='phrase_example'>forwarded</span> the grain  to a dealer   in Frankfurt .
I <span id='phrase_example'>sent</span> the manuscript  to England   to Bill .
",TRUE,869
f:Location_of_light,"A perceptible <em>Figure</em> shows up against a <em>Ground</em> location due to <em>Light</em> shining on/from it, its salience possibly dependent on a <em>Cause of shine</em>."," 
 
 The walls <span id='phrase_example'>glowed</span> in the sun .
 The quartz <span id='phrase_example'>glowed</span> with a fitful, internal light .
 Something  was <span id='phrase_example'>shimmering</span>  on the shore .
 The oily mud <span id='phrase_example'>gleamed</span> wetly  under his feet .
Still <span id='phrase_example'>glowing</span>  from the forge ...
 The grass <span id='phrase_example'>glistened</span> with dew .
",TRUE,864
f:Categorization,"A <em>Cognizer</em> construes an <em>Item</em> as belonging to a certain <em>Category</em>.  In this process, the <em>Cognizer</em> may either passively perceive the <em>Item</em> and note that it fits the <em>Criteria</em> for a <em>Category</em>, or, alternatively, actively examine the <em>Item</em> for certain <em>Criteria</em> that define a <em>Category</em> (or set of <em>Category</em>s). "," You  've already <span id='phrase_example'>stereotyped</span>  me   as a bimbo , have n't you?
",TRUE,849
f:Medical_conditions,"Medical conditions or diseases that a patient suffers from, is being treated for, may be cured of, or die of.  The condition or disease may be described in a variety of ways, including the part or area of the body (<em>Body Part</em>) affected by the condition (e.g. liver cancer, cardiovascular disease), the <em>Cause</em> of the condition (e.g. bacterial meningitis, viral pneumonia), a prominent <em>Symptom</em> of the condition (e.g. asymptomatic stenosis, blue ear disease), the <em>Patient</em> or population (originally) affected by the condition (e.g. bovine tuberculosis, juvenile diabetes), or the (proper) <em>Name</em> used to identify the condition (e.g. Munchausen Syndrome, Lou Gehrig's Disease).","John  died of   pancreatic  <span id='phrase_example'>cancer</span>.
",TRUE,834
f:Perception_active,Perception words whose perceivers intentionally direct their attention to some entity or phenomenon in order to have a perceptual experience.,"I <span id='phrase_example'>smell</span> something rotten.
<span id='phrase_example'>Smell</span> this  to see if it's fresh .  
 She <span id='phrase_example'>gazed</span> upon him  fondly .
",TRUE,829
f:Detaching,"The definition covers two situations: a scene in which somebody causes one thing to be physically detached from something else; or a scene in which somebody causes two things to be disconnected from each other. In the first,  an <em>Agent</em> detaches an <em>Item</em> from a <em>Source</em>, creating an asymmetric relationship between the <em>Item</em> and the <em>Source</em>. In the second, the <em>Agent</em> attaches two <em>Items</em> to each other, where each serves as a <em>Source</em> relative to the other, creating a symmetric relationship between the two <em>Items</em>. Note in both cases, after the removal of the connector, the <em>Items</em> that were formerly attached re-appear as the two separate or potentially separate entities that they were throughout."," She <span id='phrase_example'>unhooked</span> the leash  from Patty's collar , and pulled her up on the couch.
 Before adding a new area of color ,  he <span id='phrase_example'>detached</span> the canvas  from the stretcher  and laboriously scraped away the old paint in that spot.
 They  finally <span id='phrase_example'>unchained</span>  me   from my desk at work  and I'm leavin town.
",TRUE,825
f:Omen,"One phenomenon, <em>Phenomenon 1</em> is an indication of the current or future existence of another phenomenon, <em>Phenomenon 2</em>. There is no Cognizer present on the scene. Many words in this definition also allow a slightly different understanding, whereby <em>Phenomenon 1</em> provides clues as to the good or bad <em>Outcome</em> of an expected <em>Phenomenon 2</em>. Instead of <em>Phenomenon 2</em> an <em>Interested party</em> that will be involved in the event or state that is <em>Phenomenon 2</em> may be mentioned. In both construals, the two phenomena are asymmetrical and consequently they have no joint syntactic realization.","I wish I could say  my success   <span id='phrase_example'>bodes</span>  well   for him .
 Cold-blooded words  do not necessarily <span id='phrase_example'>betoken</span>  a callous nature .
 Its appearance was an 
 ill  <span id='phrase_example'>omen</span>. 

   Such potential 
  <span id='phrase_example'>augurs</span>
   well 
   for the 1990s 

",TRUE,824
f:Processing_materials,"An <em>Agent</em> alters some <em>Material</em> in some useful way by means of some chemical or physical <em>Alterant</em>.  Typically, this involves placing a reagent in contact with the <em>Material</em>, or applying heat, pressure, etc.  Often a specific <em>Agent</em> and/or <em>Result</em> is mentioned. The <em>Alterant</em> is often incorporated in the target."," Watering cans  are often <span id='phrase_example'> galvanized </span>  to prevent rust .
 Native Americans <span id='phrase_example'>dyed</span> textiles  with dyes made from cedar strips .
",TRUE,809
f:Desiring,"An <em>Experiencer</em> desires that an <em>Event</em> occur.  (Note that commonly a resultant state of the <em>Event</em> will stand in for the <em>Event</em>.)  In some cases, the <em>Experiencer</em> is an active participant in the <em>Event</em>, and in such cases the<em>Event</em> itself is often not mentioned, but rather some <em>Focal participant</em> which is subordinately involved in the <em>Event</em>."," Susan  really <span id='phrase_example'>wishes</span> that you 'd listen to her .
 The company was<span id='phrase_example'>eager</span> for him  to leave as soon as possible .
 I  only <span id='phrase_example'>wanted</span>  one piece of candy .
 
",TRUE,803
f:Relative_time,These words relate to the relative ordering of two events or times.," I  'm <span id='phrase_example'>late</span>  for my departure  !
 My flight  is <span id='phrase_example'>early</span>  by 20 minutes .
 
The <span id='phrase_example'>following</span>  morning , she tried to figure out what it meant .   
<span id='phrase_example'>After</span> she arrived  ,  she laid out her papers on the desk .
 
",TRUE,800
f:Cause_to_perceive,"An <em>Agent</em>, <em>Actor</em>, <em>Entity</em>, or <em>Medium</em> causes a <em>Phenomenon</em> to be perceived by a <em>Perceiver</em>.  With an <em>Actor</em>, <em>Entity</em>, or <em>Medium</em>, the <em>Perceiver</em> is usually unspecified."," The economy  is <span id='phrase_example'>showing</span>  signs of growth .
 The second scene <span id='phrase_example'>depicts</span>  Dad   holding the ball for a place kick .
 He <span id='phrase_example'>exhibited</span> great interest in the project .
 Aileen <span id='phrase_example'>showed</span> Rob  the book .
",TRUE,778
f:Colonization,"A group of <em>Colonists</em> from a <em>Homeland</em> migrate to and proceed to settle in a <em>New area</em>. The <em>New area</em> then becomes their permanent home. The <em>New area</em> and <em>Homeland</em> are in some way construed as being part of the same organization or system. In the case of (people from) nation-states colonizing other areas, the colony and nation-state are considered a single political entity. In the extended sense of living things in general colonizing or settling a new area, the original <em>Homeland</em> must still inhabited by some of the same group. In this sense Colonization is distinct from migration or exodus. This definition also includes metaphorical uses involving animals or plants, or abstract domains such as ideas.","As the years progressed and adaptations occurred  new species and subspecies  began to <span id='phrase_example'>populate</span>  the islands .
Conservatives don't get what the left gets, which is that  the left  has  already  <span id='phrase_example'>colonized</span> and converted  whole university departments .
 Deciduous trees such as red alder  subsequently <span id='phrase_example'>colonized</span> the logged area .
If a <span id='phrase_example'>colony</span>  from Britain  was established in that large tract of Country, and if we were at war with Holland or Spain, we might very powerfully annoy either state from our new settlement.
 Finns <span id='phrase_example'>colonized</span> the land  from the south  some 2,000 to 4,000 years ago 
In the 7th century BC,  Phoenicians  <span id='phrase_example'>colonized</span> the eastern section of Libya.
 In the 7th century BC ,  Phoenicians <span id='phrase_example'>colonized</span> the eastern section of Libya .
",TRUE,774
f:Measure_volume,Nouns that denote <em>Unit</em>s of measurement for volumes.," 
many <span id='phrase_example'>cups</span> of coffee
 
a <span id='phrase_example'>cup</span> of coffee
 
two <span id='phrase_example'>cups</span> of coffee
Sue drank  two  <span id='phrase_example'> liters </span>
 of beer .
Greg drank  two   2 liter  <span id='phrase_example'> bottles </span>  of lemonade .
",TRUE,767
f:Stimulus_focus,"Either a <em>Stimulus</em> brings about a particular emotion or experience in the <em>Experiencer</em> or  saliently fails to bring about a particular experience. Some words indicate that the <em>Stimulus</em> is characterized by the experience it is likely to evoke in an <em>Experiencer</em> and for these, the <em>Experiencer</em> may rarely be present. There may also be a <em>Degree</em> to which the <em>Stimulus</em> affects the <em>Experiencer</em> and <em>Circumstances</em> under which the experience occurs. There may also be a <em>Comparison set</em> to which the <em>Stimulus</em> is compared and a <em>Parameter</em> that indicates the area in which the <em>Stimulus</em> has its effect.   "," The report  was  very  <span id='phrase_example'>alarming</span>  to me . 
 That was certainly a <span id='phrase_example'>gratifying</span>  experience .
 That movie  was  quite  <span id='phrase_example'>fascinating</span>. 
 The view  is <span id='phrase_example'>breathtaking</span>  in January . 
",TRUE,744
f:Judgment,"A <em>Cognizer</em> makes a judgment about an <em>Evaluee</em>. The judgment may be positive (e.g. respect) or negative (e.g. condemn). There may be a specific <em>Reason</em> for the <em>Cognizer</em>'s judgment, or there may be a capacity or <em>Role</em> in which the <em>Evaluee</em> is judged."," 
She <span id='phrase_example'>accused</span> Einstein of collusion.
She <span id='phrase_example'>admired</span> Einstein for his character.
 
",TRUE,706
f:Ride_vehicle,"A <em>Theme</em> is moved by a <em>Vehicle</em> which is not directly under their power. The <em>Source</em>, <em>Path</em>, <em>Goal</em>, or <em>Area</em> of the motion may be indicated. The <em>Distance</em> traveled or the <em>Speed</em> of motion may also be indicated. A <em>Route</em> or <em>Road</em>may be present and the <em>Manner</em> in which the <em>Theme</em> moves may be given."," Mr. Bigglesworth <span id='phrase_example'>rides</span> route 51 .
Every day,  Martin  <span id='phrase_example'>rode</span>  the bus   on highway 880 .
 Sally <span id='phrase_example'>flew</span> 3000 miles  from San Francisco  to New York .
 Mrs. Smith <span id='phrase_example'>rode</span> on the train .
",TRUE,702
f:Thriving,"An <em>Entity</em> is in a state such that it participates in a preponderance of states and events which are desirable for it. For living entities, this may entail a proliferation of instances of the entity, or of desirable properties associated with the (single) entity. For non-living entities (economies, political locales, academic topics, etc.), this entails a proliferation of instances, or of activities that lead to instances, or any attribute that would prevent the entity from disappearing. This state is conceived of as temporary, or at least contingent on a number of changeable factors. Words expressing the opposite state, i.e., a lack of such positive activity, are also in this definition."," Construction companies <span id='phrase_example'>thrive</span> on public projects .
 In the 1920s  the peach industry <span id='phrase_example'>flourished</span> in Upson County .
",TRUE,702
f:Connectors,"The <em>Connector</em> is an artifact created to affix a <em>Connected item</em> or to bind onto a <em>Fixed location</em> and is primarily so used.  A more specific <em>Use</em> may also be specified.  Certain words (e.g. bond, chain in the phrase in chains) indicate specifically that the <em>Connector</em> is being used to immobilize something.  <em>Connector</em>s have a wide variety of physical forms:  long, thin, and flexible for tying (ropes, bonds, withies); solid, with a shape corresponding to holes in the entities to be connected (bolts, nails, pegs); and liquid (glues, adhesives, pastes).","I think they  cut   his  bike   <span id='phrase_example'>chain</span>   with bolt cutters.
She  jerked   on  His   neck   <span id='phrase_example'>rope</span>   again, to keep his attention.
  His <span id='phrase_example'> bonds </span>  had to be  loosened  before they could be cut.
A waterproof  <span id='phrase_example'>adhesive</span>  should be used for this exterior job.
",TRUE,696
f:Bragging,"A <em>Speaker</em> talks about a <em>Topic</em>, which may be an action performed by the <em>Speaker</em> or an entity or state of affairs that they are associated with in order to suggest that the <em>Speaker</em> is worthy of admiration. The Speaker may give an explicit <em>Reason</em> why the <em>Topic</em> redounds to their credit. Alternatively, a <em>Message</em> can be used to directly describe what the <em>Speaker</em> says, leaving the more specific <em>Reason</em> for admirability to be inferred. Instead of the <em>Speaker</em>, the action may be attributed metonymically to the <em>Medium</em>, or possibly the <em>Expressor</em>.<ex/>"," 70's comics like Chevy Chase and Steve Martin  over-stated their egotism and <span id='phrase_example'>preened</span>  over their superiority .
 The press release <span id='phrase_example'>boasts</span> that a direct connection between the cartridge and the system means no more having to blow dust out of game cartridges .
 He  then <span id='phrase_example'>vaunted</span> his own clan , but failed to mention Emanuel Ungaro, who described the omission as ''lamentable''.
 Turkish officials <span id='phrase_example'>boasted</span> of giving 'tens of thousands of dollars in surreptitious payments' to a prominent American politician .
 
",TRUE,690
f:Word_relations,"One linguistic unit, <em>Sign 1</em>, has a relation to another linguistic unit, <em>Sign 2</em>. This relation may be semantic, phonological, orthographic, or distributional in nature. The parameter along which the two signs are set in relation to each other is incorporated in the meaning of the target words. When the relation is symmetrical, the two linguistic units can be expressed jointly, <em>Signs</em>. Otherwise they have to be expressed disjointly. Ordinarily it is assumed that one linguistic unit has exactly one meaning but in cases where this is not so, a set of <em>Circumstances</em> may be specified that helps pick out the relevant sense."," In one sense ,  dog  is a <span id='phrase_example'>hyponym</span> of  itself .
 Happy and sad  are <span id='phrase_example'>antonyms</span>.
",TRUE,680
f:Come_together,"A group of <em>Individuals</em> meet to form a <em>Configuration</em>. The <em>Individuals</em> or the <em>Configuration</em> may be expressed as the external argument of the predicates. It is ambiguous whether or not the <em>Individuals</em> intentionally come together.  In an alternative construal, a grammatically more prominent <em>Party 1</em> congregates with a <em>Party 2</em>, expressed as an oblique phrase. If this asymmetric construal is chosen, <em>Purpose</em> relates only to <em>Party 1</em>.<ex/>The congregating happens in a certain <em>Place</em> and at a certain <em>Time</em>.<ex/>"," The architects <span id='phrase_example'>amassed</span> in the lobby .
 The crowd <span id='phrase_example'>came together</span> in the courtyard .
 
 
",TRUE,668
f:Sufficiency,"An <em>Item</em> is located on a <em>Scale</em> relative to a critical value which is determined by some <em>Enabled situation</em>. Generally, when the <em>Enabled situation</em> is left unexpressed the <em>Enabled situation</em> is interpreted to be the desirability of the <em>Item</em> being located within a particular range on the <em>Scale</em>. With many of the adjectives of this definition, the <em>Scale</em> is not explicitly mentioned; in such cases, the <em>Scale</em> is usually the quantity, incorporated in the meaning of the targets themselves, though in the case of <t>adequacy</t>, etc. the <em>Scale</em> referred to is quality."," The particles  are <span id='phrase_example'>sufficiently</span>  small  in diameter  that they may be considered points .
 I  was  way  <span id='phrase_example'>too</span>  hot .   
 I  was <span id='phrase_example'>too</span>  mad   to keep myself from screaming .
 I  was  mad  <span id='phrase_example'>enough</span>  to scream .
I probably have <span id='phrase_example'>enough</span>.      
",TRUE,664
f:Coming_up_with,"A <em>Cognizer</em> creating a new intellectual entity, the <em>Idea</em>. These words are similar to words of physical creation such as build and make, and in some cases may be understood as metaphorically based on such words. However, the <em>Idea</em>s are predominantly conceptual in nature."," I  've been trying to <span id='phrase_example'>come up</span>  with a plan  .
",TRUE,650
f:Earnings_and_losses,"An <em>Earner</em> receives <em>Earnings</em> by providing <em>Goods</em> to a <em>Buyer</em>; providing the <em>Goods</em> also generally entails a cost, which may or may not be included in the consideration.  Emphasizes the effect on the <em>Earner</em> and often generalizes across an indefinite number of transactions with various parties.  Some of the LUs (e.g. earn.v) primarily refer to the to the <em>Earnings</em> without reference to cost, others to the amount the <em>Earnings</em> differ from the cost, emphasizing either a net loss (e.g. loss.n) or net gain (e.g. net.n).","After a  $ 1.5 million  <span id='phrase_example'>loss</span> , the company is in no state to continue .
 We <span id='phrase_example'>made</span> nearly two million  on resales alone  last year  .
This reflects the 15 % jump in <span id='phrase_example'> earnings </span> over 1994 .
",TRUE,650
f:Causation,"A <em>Cause</em> causes an <em>Effect</em>.  Alternatively, an <em>Actor</em>, a participant of a (implicit) <em>Cause</em>, may stand in for the <em>Cause</em>. "," The ending <span id='phrase_example'>left</span> me  feeling kinda empty .
 You  've <span id='phrase_example'>made</span>  it   impossible to continue !
 The strange mutations of the rumor mill  in the end <span id='phrase_example'>led</span> to it being said that he was actually a woman .
If  such a small earthquake  <span id='phrase_example'>causes</span>  problems , just imagine a big one!
 He <span id='phrase_example'>made</span> me  angry .
",TRUE,648
f:Evaluative_comparison,"The static comparison of an <em>Profiled item</em> to a <em>Standard item</em>, often  with respect to some <em>Attribute</em>. There is an inherent asymmetry between <em>Profiled item</em> and <em>Standard item</em> in that the two cannot be expressed jointly as a subject. <em>Degree</em> expressions are also found that indicate how close the items are to each other on the scale evoked by the <em>Attribute</em>. Furthermore, the particular value of the standard or item on a certain scale may be given by the <em>Standard attribute</em> of the <em>Profiled attribute</em> respectively.   "," The current price <span id='phrase_example'>matches</span> the price last year  . 
 Few pianists  have ever <span id='phrase_example'>equaled</span>  the lightness and vivacity of his rhythm  . 
 Peyton Manning's passing yards  are <span id='phrase_example'>equaled</span>  among NFL quarterbacks   by only a select few . 
 Mexico's Copper Canyon <span id='phrase_example'>rivals</span> the Grand Canyon  in sheer beauty and drama .  
 The Sun is putting on  a show that  <span id='phrase_example'>rivals</span>  the most sizzling Hollywood thrillers .
",TRUE,646
f:Elusive_goal,"An <em>Experiencer</em> does not achieve a <em>Desired goal</em>. Typically, the <em>Experiencer</em> is the object of the verb.  Metaphorically, a pursued entity is not captured."," 
 A simple truth  has <span id='phrase_example'>evaded</span>  so many of us .
 His point <span id='phrase_example'>escaped</span>  the entire audience .
 Success <span id='phrase_example'>eludes</span> me .
",TRUE,645
f:Travel,"A <em>Traveler</em> goes on a journey, an activity, generally planned in advance, in which the <em>Traveler</em> moves from a <em>Source</em> location to a <em>Goal</em> along a <em>Path</em> or within an <em>Area</em>.  The journey can be accompanied by <em>Co participant</em>s and <em>Baggage</em>.  The <em>Duration</em> or <em>Distance</em> of the journey, both generally long, may also be described as may be the <em>Mode of transportation</em>.  Words with this definition emphasize the whole process of getting from one place to another, rather than profiling merely the beginning or the end of the journey."," The Osbournes took a <span id='phrase_example'>trip</span>  from Beverly Hills   to London   on the Concorde .
 Samantha <span id='phrase_example'>journeyed</span> 2500 miles  with her family  by sea  to China .
 Ellen <span id='phrase_example'>journeyed</span> to Europe  with five suitcases .
",TRUE,644
f:Rewards_and_punishments,"An <em>Agent</em> (the punisher or rewarder) performs a <em>Response action</em> on an <em>Evaluee</em> for a <em>Reason</em>, the <em>Evaluee</em>'s actions or beliefs.   <em>Means</em> and <em>Instrument</em> may also be indicated.The goal of the punishment/reward is  to discourage/encourage the actions or beliefs.  Words with this definition presuppose that a judgment of the <em>Evaluee</em> has occurred and that the <em>Evaluee</em> is (or becomes) aware of the judgment.  This judgment was performed by a cognizer which is either the same as the <em>Agent</em>, or, minimally, a representative of the same institution.","I believe that this behaviour should be subject to <span id='phrase_example'>disciplinary</span>  action .
The <span id='phrase_example'>penalty</span>  for this crime  is  death . 
 Her <span id='phrase_example'>punishment</span>  was too harsh.
 His <span id='phrase_example'>punishment</span> of the prisoners  was too harsh.
",TRUE,640
f:Hindering,"A <em>Hindrance</em> makes it more difficult for a <em>Protagonist</em> to complete their intended <em>Action</em> or a <em>Hindrance</em> directly affects an <em>Action</em> where the <em>Action</em> can be a natural act or the actions of many individuals in a collective endeavor.  Crucially, these lexical units do not entail that the <em>Protagonist</em> was unable to complete the <em>Action</em> or that the <em>Action</em> did not occur. The <em>Hindrance</em> may indicate a lack of enablement or an obstacle on the natural progression of the <em>Protagonist</em> or <em>Action</em>   "," The new dam <span id='phrase_example'>impeded</span> the flow of water  . 
 Many candidates' progress  is  severely  <span id='phrase_example'>impeded</span>  because they have to resit for the exam . 
 A lack of money <span id='phrase_example'>hampered</span> our plans  . 
 Malcolm  was <span id='phrase_example'>hindered</span>  by his drinking problem  . 
",TRUE,631
f:Revenge,"The infliction of punishment in return for a wrong suffered. An <em>Avenger</em> performs a <em>Punishment</em> on a <em>Offender</em> as a consequence of an earlier action by the <em>Offender</em>, the <em>Injury</em>. The <em>Avenger</em> inflicting the<em>Punishment</em> need not be the same as the <em>Injured Party</em> who suffered the <em>Injury</em>,  but the <em>Avenger</em> does have to share the judgment that the <em>Offender</em>'s action was wrong. The judgment that the <em>Offender</em> had inflicted an <em>Injury</em>  is made without regard to the law.","(3) The next day, the Roman forces took <span id='phrase_example'>revenge</span>  on their enemies. .
(2)  Lachlan  went out to <span id='phrase_example'>avenge</span>  them .
(1)  They  took <span id='phrase_example'>revenge</span>  for the deaths of two loyalist prisoners .
",TRUE,619
